id	source	tolerate	deleterious	group_name	name	description	orientation	scope	reference	doi	is_metascore	annotations	transformation
bayesdel	local	-1.3	0.76	BayesDel	BayesDel	BayesDel is a combined deleteriousness score defined as a weighted product of likelihood ratios of multiple deleteriousness predictors.	positive	all	Feng 2017	10.1002/humu.23158	x	PolyPhen2, SIFT, FATHMM, LRT, Mutation Taster, Mutation Assessor, PhyloP, GERP++, SiPhy	
cadd.consscore	myvariant	0	7	CADD	CADD Custom deleterious score assigned to Consequence	Combined Annotation Dependent Depletion (CADD) is a framework that integrates multiple annotations into one metric by contrasting variants that survived natural selection with simulated mutations.	positive	regulatory	Kircher et al. 2014;Rentzsch et al. 2018	10.1038/ng.2892;10.1093/nar/gky1016		Gene annotations	
cadd.phred	myvariant	1	99	CADD	CADD phred-like	Combined Annotation Dependent Depletion (CADD) is a framework that integrates multiple annotations into one metric by contrasting variants that survived natural selection with simulated mutations.	positive	regulatory	Kircher et al. 2014;Rentzsch et al. 2018	10.1038/ng.2892;10.1093/nar/gky1016		Gene annotations, Grantham, phastCons, phyloP, GERP++, mirSVR, targetScan, chromHMM, Encode expression, nucleosome position, histone modification, open chromatin, Segway, tOverlapMotifs, TFBS, mutationDensity, nearestMutation, dbscSNV	
cadd.rawscore	myvariant	-6	33	CADD	CADD raw	Combined Annotation Dependent Depletion (CADD) is a framework that integrates multiple annotations into one metric by contrasting variants that survived natural selection with simulated mutations.	positive	regulatory	Kircher et al. 2014;Rentzsch et al. 2018	10.1038/ng.2892;10.1093/nar/gky1016		Gene annotations, Grantham, phastCons, phyloP, GERP++, mirSVR, targetScan, chromHMM, Encode expression, nucleosome position, histone modification, open chromatin, Segway, tOverlapMotifs, TFBS, mutationDensity, nearestMutation, dbscSNV	
cdts_percentile	local	0	100	CDTS	CDTS percentile	CDTS represents sequence constraint across thousands of individuals  and is an asset to help interpret noncoding elements in the human genome, prioritize variants and reconsider gene units at a larger scale.	negative	all	di Iulio et al. 2018	10.1038/s41588-018-0062-7		An intraspecies map of sequence constraint for the human species build on 11,257 whole-genome sequences.	
dbnsfp.dann.rankscore	myvariant	0	1	DANN	DANN	DANN uses the same feature set and training data as CADD to train a deep neural network (DNN). DNNs can capture non-linear relationships among features and are better suited than SVMs for problems with a large number of samples and features.	positive	coding	Quang et al. 2015			Same as CADD	
deepseq_sig_log2	snpnexus	1	100	DeepSEA	DeepSEA ( -log2 )	DeepSEA predicts genomic variant effects on a wide range of chromatin features at the variant position (Transcription factors binding, DNase I hypersensitive sites, and histone marks in multiple hunman cell types. 	positive	regulatory	Zhou et al. 2015			Transcription factors binding, DNase I hypersensitive sites, and histone marks in multiple human cell types.	Absolute value of LOG2
eigen_nc	snpnexus	-2	5	Eigen	Eigen	Eigen is a spectral approach to the functional annotation of genetic variants in coding and noncoding regions. Eigen makes use of a variety of functional annotations in both coding and noncoding regions (such as made available by the ENCODE and Roadmap Epigenomics projects), and combines them into one single measure of functional importance.	positive	regulatory	Ionita-Laza et al. 2016	10.1038/ng.3477		PolyPhen, GERP, ENCODE, genomic element annotation (Ensembl and Roadmap Epigenomics), Furthermore, tissue-specific eQTLs and splicing QTLs (GTEx)	
dbnsfp.eigen.pc.raw_rankscore	myvariant	0	1	Eigen	Eigen-PC	Eigen is a spectral approach to the functional annotation of genetic variants in coding and noncoding regions. Eigen makes use of a variety of functional annotations in both coding and noncoding regions (such as made available by the ENCODE and Roadmap Epigenomics projects), and combines them into one single measure of functional importance.	positive	coding	Ionita-Laza et al. 2016	10.1038/ng.3477		PolyPhen, GERP, ENCODE, genomic element annotation (Ensembl and Roadmap Epigenomics), Furthermore, tissue-specific eQTLs and splicing QTLs (GTEx)	
dbnsfp.eigen.raw_rankscore	myvariant	0	1	Eigen	Eigen	Eigen is a spectral approach to the functional annotation of genetic variants in coding and noncoding regions. Eigen makes use of a variety of functional annotations in both coding and noncoding regions (such as made available by the ENCODE and Roadmap Epigenomics projects), and combines them into one single measure of functional importance.	positive	coding	Ionita-Laza et al. 2016	10.1038/ng.3477		PolyPhen, GERP, ENCODE, genomic element annotation (Ensembl and Roadmap Epigenomics), Furthermore, tissue-specific eQTLs and splicing QTLs (GTEx)	
